연예인,도서명,저자,출판사,출처,"도서 정보 ""함수 : =GET_ALADIN_API_URL(B29 & "" "" & C29 & "" "" & D29)"")""","도서 이미지(==GET_ALADIN_COVER(B134 & "" "" & C134 & "" "" & D134))","연예인 이미지 ""=GET_COMMONS_IMAGE(A2) 함수 사용""",코멘트
김민하,구의 증명,최진영,은행나무,https://blog.naver.com/minumworld/223316875496,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=315614621&partner=openAPI&start=api,https://image.aladin.co.kr/product/31561/46/cover500/k782832854_1.jpg,,
김민하,내 주머니는 맑고 강풍,최진영,핀드,https://www.gqkorea.co.kr/2026/02/26/%EA%B9%80%EB%AF%BC%ED%95%98/,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365711963,https://image.aladin.co.kr/product/36571/19/cover500/k222039349_1.jpg,,
김민하,단 한 사람,최진영,한겨레출판,https://www.elle.co.kr/ellevoice/community/detail/3833,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=324968136,https://image.aladin.co.kr/product/32496/81/cover500/k382935719_1.jpg,,
김민하,무인도에서 살아남기,"최덕희, 강경효",미래엔아이세움,https://www.vogue.co.kr/2025/04/22/%EC%8B%9C%EB%AA%AC-%EB%A1%9C%EC%83%A4%EC%99%80-%EA%B9%80%EB%AF%BC%ED%95%98%EA%B0%80-%EC%84%9C%EB%A1%9C%EC%97%90%EA%B2%8C-%EC%A3%BC%EB%8A%94-%EC%98%81%EA%B0%90/,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=272940,https://image.aladin.co.kr/product/27/29/cover500/8937810778_3.jpg,,
김민하,사랑할 때와 죽을 때,히리 마리아 레마르크,민음사,https://blog.naver.com/minumworld/223316875496,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=6383454,https://image.aladin.co.kr/product/638/34/cover500/893746246x_3.jpg,,
김민하,창조적 행위,릭 루빈,코쿤북스,https://rollingstone.co.kr/main-trending/$/20329,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=318623961&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/31862/39/cover500/k562833421_2.jpg,,
김사월,동급생,프레드 울만,열린책들,https://ch.yes24.com/article/details/81038,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=102175512&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/10217/55/cover500/8932918147_1.jpg,https://images.genius.com/08b51d4f22354fc0a98b50695a2f4d6d.1000x1000x1.jpg,
김사월,비교적 낙관적인 케이스,오카다 도시키,알마,https://ch.yes24.com/article/details/81038,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=112833264&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/11283/32/cover500/k622531892_1.jpg,,
김사월,빛과 물질에 관한 이론,앤드루 포터,문학동네,https://www.youtube.com/watch?v=wCbWqZkq_JI&list=PL6URSYwVbRamh67h3WUki1WrfPEHao3zH&index=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=191663333&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/19166/33/cover500/8954656161_1.jpg,,
김사월,"아니 에르노, 마크 마리",사진의 용도,1984 Books,https://ch.yes24.com/article/details/81038,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=302763176,https://image.aladin.co.kr/product/30276/31/cover500/k542839727_1.jpg,,
김사월,우는 나와 우는 우는,하은빈,동녘,https://ch.yes24.com/article/details/81038,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=359784310&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/35978/43/cover500/8972971545_1.jpg,,
김사월,저스트 키즈,패티 스미스,아트북스,https://www.youtube.com/watch?v=wCbWqZkq_JI&list=PL6URSYwVbRamh67h3WUki1WrfPEHao3zH&index=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=383263316&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/38326/33/cover500/k202034342_2.jpg,,
김사월,친구의 표정,안담,위즈덤하우스,https://www.youtube.com/watch?v=wCbWqZkq_JI&list=PL6URSYwVbRamh67h3WUki1WrfPEHao3zH&index=1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=344336126&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/34433/61/cover500/k692932123_1.jpg,,
김새벽,빛의 과거,은희경,문학과지성사,https://www.imbc.com/broad/radio/fm/booklisten/podcast/index.html,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=198322382&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/19832/23/cover500/8932035636_1.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f2/Kim_Sae-byuk.jpg,
김새벽,인터네셔널의 밤,박솔뫼,아르테,https://www.youtube.com/watch?v=8ED4hcKdBeg&pp=0gcJCdkKAYcqIYzv,https://product.kyobobook.co.kr/detail/S000000710501,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788950978754.jpg,,
김새벽,잔류 인구,엘리자베스 문,푸른숲,https://youtu.be/Sgm6DG53wno?si=FwwsbR1W0Rwl-YGE,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=282040398&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/28204/3/cover500/k352835078_1.jpg,,
김새벽,파괴자들,정혁용,다산책방,https://youtu.be/Sgm6DG53wno?si=FwwsbR1W0Rwl-YGE,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=280506425&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/28050/64/cover500/k342734432_1.jpg,,
김서형,세상에서 가장 용감한 소녀,메듀 코델,비룡소,https://m.ch.yes24.com/article/details/40884,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=149694116,https://image.aladin.co.kr/product/14969/41/cover500/8949113694_1.jpg,https://upload.wikimedia.org/wikipedia/commons/5/52/Kim_Seo-hyung_in_October_2022.png,
